compound,coverage,aac_std,manual_moa_class,pubchem_link,chembl_link,google_link
nakiterpiosin,514,0.11388423,,https://pubchem.ncbi.nlm.nih.gov/#query=nakiterpiosin,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=nakiterpiosin,https://www.google.com/search?q=nakiterpiosin%20mechanism%20of%20action
Sildenafil,514,0.04946064,,https://pubchem.ncbi.nlm.nih.gov/#query=Sildenafil,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=Sildenafil,https://www.google.com/search?q=Sildenafil%20mechanism%20of%20action
BRD-K34222889,513,0.09613265,,https://pubchem.ncbi.nlm.nih.gov/#query=BRD-K34222889,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=BRD-K34222889,https://www.google.com/search?q=BRD-K34222889%20mechanism%20of%20action
tretinoin:carboplatin (2:1 mol/mol),512,0.09764921,,https://pubchem.ncbi.nlm.nih.gov/#query=tretinoin%3Acarboplatin%20%282%3A1%20mol/mol%29,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=tretinoin%3Acarboplatin%20%282%3A1%20mol/mol%29,https://www.google.com/search?q=tretinoin%3Acarboplatin%20%282%3A1%20mol/mol%29%20mechanism%20of%20action
N9-Isopropyl-olomoucine,511,0.05688014,,https://pubchem.ncbi.nlm.nih.gov/#query=N9-Isopropyl-olomoucine,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=N9-Isopropyl-olomoucine,https://www.google.com/search?q=N9-Isopropyl-olomoucine%20mechanism%20of%20action
Bleomycin a2,510,0.13324234,,https://pubchem.ncbi.nlm.nih.gov/#query=Bleomycin%20a2,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=Bleomycin%20a2,https://www.google.com/search?q=Bleomycin%20a2%20mechanism%20of%20action
PDMP,510,0.044784274,,https://pubchem.ncbi.nlm.nih.gov/#query=PDMP,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=PDMP,https://www.google.com/search?q=PDMP%20mechanism%20of%20action
Fumonisin B(1),510,0.046300236,,https://pubchem.ncbi.nlm.nih.gov/#query=Fumonisin%20B%281%29,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=Fumonisin%20B%281%29,https://www.google.com/search?q=Fumonisin%20B%281%29%20mechanism%20of%20action
BRD-K71935468,509,0.08298986,,https://pubchem.ncbi.nlm.nih.gov/#query=BRD-K71935468,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=BRD-K71935468,https://www.google.com/search?q=BRD-K71935468%20mechanism%20of%20action
BMS-345541 free base,508,0.055060122,,https://pubchem.ncbi.nlm.nih.gov/#query=BMS-345541%20free%20base,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=BMS-345541%20free%20base,https://www.google.com/search?q=BMS-345541%20free%20base%20mechanism%20of%20action
necrostatin-1,507,0.05795886,,https://pubchem.ncbi.nlm.nih.gov/#query=necrostatin-1,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=necrostatin-1,https://www.google.com/search?q=necrostatin-1%20mechanism%20of%20action
NVP-231,507,0.08734851,,https://pubchem.ncbi.nlm.nih.gov/#query=NVP-231,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=NVP-231,https://www.google.com/search?q=NVP-231%20mechanism%20of%20action
