compound,model_family,strategy,omics_layer,fold,n_train,n_test,pearson,spearman,rmse,mae,r2
"1S,3R-RSL-3",RidgeCV,pathway_modules,multiomics_pathway,4,293,73,0.437866851034873,0.3589719856843145,0.17927213689129176,0.14573070908128732,0.19095320765368673
"1S,3R-RSL-3",RidgeCV,pathway_modules,multiomics_pathway,5,293,73,0.4761008432034083,0.4735591756139702,0.17873234139692717,0.1473731582228287,0.21984933239207116
docetaxel:tanespimycin (2:1 mol/mol),RidgeCV,pathway_modules,multiomics_pathway,1,288,72,0.37148752773049876,0.27976075631873437,0.20390821097137046,0.16747336776524238,0.1103667040924684
docetaxel:tanespimycin (2:1 mol/mol),RidgeCV,pathway_modules,multiomics_pathway,2,288,72,0.3765513866566841,0.4060711299762043,0.2046282212473481,0.15399017168992962,0.13499651058240292
docetaxel:tanespimycin (2:1 mol/mol),RidgeCV,pathway_modules,multiomics_pathway,3,288,72,0.4307950702899672,0.42112032928162585,0.17591644172960888,0.14664869791112695,0.17802891027191614
docetaxel:tanespimycin (2:1 mol/mol),RidgeCV,pathway_modules,multiomics_pathway,4,288,72,0.4316552084000891,0.4160074602868352,0.17092021379550243,0.13900111935017184,0.16422629805003275
docetaxel:tanespimycin (2:1 mol/mol),RidgeCV,pathway_modules,multiomics_pathway,5,288,72,0.513460582253426,0.5670782686989518,0.15254678675811362,0.11810197549607263,0.21845238714123572
Leptomycin B,RidgeCV,pathway_modules,multiomics_pathway,1,298,75,0.37853375459098326,0.38264580369843526,0.17666262551284204,0.1449600658406682,0.08407893336392525
Leptomycin B,RidgeCV,pathway_modules,multiomics_pathway,2,298,75,0.3924149204019794,0.41712660028449505,0.1872369580408718,0.15320713278975476,0.0984726190252434
Leptomycin B,RidgeCV,pathway_modules,multiomics_pathway,3,298,75,0.3286345474907905,0.37544807965860594,0.1713101928733183,0.13897819045533344,0.09009551780180858
Leptomycin B,RidgeCV,pathway_modules,multiomics_pathway,4,299,74,0.23544643938602805,0.23332099222510178,0.15748894837014518,0.1305146939998159,0.05258255509242671
Leptomycin B,RidgeCV,pathway_modules,multiomics_pathway,5,299,74,0.33503480350230574,0.35724546464272483,0.18446136262665097,0.14356239780484736,0.08049518761972951
KX2-391,RidgeCV,pathway_modules,multiomics_pathway,1,284,71,0.46103358537675243,0.37518443997317236,0.1507417221439517,0.12216743711654873,0.1767867297529685
KX2-391,RidgeCV,pathway_modules,multiomics_pathway,2,284,71,0.6241173815886025,0.5883181448743379,0.16940124311976726,0.14276363923054042,0.3545352878358722
KX2-391,RidgeCV,pathway_modules,multiomics_pathway,3,284,71,0.46023596841263636,0.322635814889336,0.1592066250475901,0.12957360989642283,0.12905946071988716
KX2-391,RidgeCV,pathway_modules,multiomics_pathway,4,284,71,0.5755895770908228,0.5655600268276324,0.1623653202995044,0.12014490000393845,0.3174533304852901
KX2-391,RidgeCV,pathway_modules,multiomics_pathway,5,284,71,0.5753835608251369,0.49631120053655264,0.18144014910373135,0.1477282703474593,0.23558663009514802
ML210,RidgeCV,pathway_modules,multiomics_pathway,1,256,64,0.4332127612619328,0.4474410192717514,0.19363245909078486,0.16663772764187013,0.1584762136511979
ML210,RidgeCV,pathway_modules,multiomics_pathway,2,256,64,0.4475378919707488,0.39542124542124535,0.1897268182588393,0.1645516968388578,0.1340711197322041
