compound,model_family,strategy,omics_layer,fold,n_train,n_test,pearson,spearman,rmse,mae,r2
BI-2536,XGBoost,early_fusion,multiomics,2,287.0,72,0.4544128690478324,0.5175573991896586,0.20614967329289235,0.15488538428002763,0.19860731117877617
BI-2536,XGBoost,early_fusion,multiomics,3,287.0,72,0.6134098422215942,0.6122580230239888,0.15657572463794528,0.12311867903918028,0.36401094311463167
BI-2536,XGBoost,early_fusion,multiomics,4,287.0,72,0.6040241773831332,0.4499324715415783,0.1701983704002877,0.14510405477550295,0.3565905818807593
BI-2536,XGBoost,early_fusion,multiomics,5,288.0,71,0.5683157120726228,0.4775318578135479,0.1679871432319525,0.13424049286355436,0.28065131089088324
BI-2536,XGBoost,signal_fusion,signal_multiomics,1,287.0,72,0.65526894330057,0.549006366968937,0.16624544278240275,0.13547833745057383,0.40004967982184936
BI-2536,XGBoost,signal_fusion,signal_multiomics,2,287.0,72,0.4477702584206377,0.5186507170879157,0.207130399104676,0.15607431854328346,0.19096416536771577
BI-2536,XGBoost,signal_fusion,signal_multiomics,3,287.0,72,0.6092931637748349,0.6094282590520291,0.15693748448559783,0.12458451040503052,0.3610687106170938
BI-2536,XGBoost,signal_fusion,signal_multiomics,4,287.0,72,0.5881083389744812,0.3943018843655541,0.17202295627071312,0.14650092729263836,0.3427214909158669
BI-2536,XGBoost,signal_fusion,signal_multiomics,5,288.0,71,0.5750787390836238,0.4858484238765928,0.16683801058515987,0.13593868292133574,0.2904592013662429
BI-2536,XGBoost,early_fusion_lineage,multiomics_plus_lineage,1,287.0,72,0.6432643918373292,0.5335712907582482,0.16834458579905343,0.13531824434176087,0.3848031567973922
BI-2536,XGBoost,early_fusion_lineage,multiomics_plus_lineage,2,287.0,72,0.4433744986243221,0.5132162840054024,0.20784328776057653,0.15571522001280552,0.1853856024257856
BI-2536,XGBoost,early_fusion_lineage,multiomics_plus_lineage,3,287.0,72,0.6021044863989474,0.6083349411537721,0.15824823348654127,0.1250027615783943,0.3503513745844202
BI-2536,XGBoost,early_fusion_lineage,multiomics_plus_lineage,4,287.0,72,0.5945430015638299,0.41398160653418237,0.17150454424389924,0.14620445378952557,0.3466770984600579
BI-2536,XGBoost,early_fusion_lineage,multiomics_plus_lineage,5,288.0,71,0.5463699757547391,0.4391012743125419,0.1698019803199297,0.13635564721386198,0.26502448854547145
BI-2536,XGBoost,signal_fusion_lineage,signal_multiomics_plus_lineage,1,287.0,72,0.6482146977309078,0.5437970287478295,0.167585669769512,0.13376598499922288,0.39033740506402526
BI-2536,XGBoost,signal_fusion_lineage,signal_multiomics_plus_lineage,2,287.0,72,0.4628758919216074,0.5386198469354944,0.2050436411924746,0.15371589520428744,0.20718349045466178
BI-2536,XGBoost,signal_fusion_lineage,signal_multiomics_plus_lineage,3,287.0,72,0.6065060081794665,0.6023216927133578,0.15737725287871987,0.12452997215506104,0.3574828819119118
BI-2536,XGBoost,signal_fusion_lineage,signal_multiomics_plus_lineage,4,287.0,72,0.5969070247018045,0.42105601646408136,0.17094338041431226,0.14530724121464622,0.3509454563594826
BI-2536,XGBoost,signal_fusion_lineage,signal_multiomics_plus_lineage,5,288.0,71,0.5474363024934586,0.4394366197183098,0.16952216489136127,0.13593868166208267,0.2674448141107054
BI-2536,XGBoost,metadata_augmented,expr_plus_lineage,1,287.0,72,0.6618388090039735,0.5840890089394818,0.1650852538783264,0.13589828652847144,0.40839429229501456
BI-2536,XGBoost,metadata_augmented,expr_plus_lineage,2,287.0,72,0.474415031651489,0.5452119107338093,0.20405139591342358,0.15088957167851427,0.21483810500300393
BI-2536,XGBoost,metadata_augmented,expr_plus_lineage,3,287.0,72,0.6243687667091384,0.6094925718695736,0.1547490938287909,0.12337782761702935,0.3787634322826956
BI-2536,XGBoost,metadata_augmented,expr_plus_lineage,4,287.0,72,0.6339995690855132,0.5197440349861728,0.1651110629878087,0.13860658100909656,0.3944793401329033
BI-2536,XGBoost,metadata_augmented,expr_plus_lineage,5,288.0,71,0.569807851570584,0.4665660630449362,0.167437308048874,0.13531260664614153,0.2853525745854233
BI-2536,XGBoost,late_fusion,multiomics,1,,72,0.7133269863684086,0.6678564537912407,0.18265928980053142,0.15268766690666474,0.27573196080316675
BI-2536,XGBoost,late_fusion,multiomics,2,,72,0.4401398520631251,0.49993568718245557,0.2138199038005281,0.1747560948185209,0.13786290080428876
