compound,model_family,strategy,omics_layer_model,fold,omics_layer,raw_importance,importance_fraction
Vincristine,RidgeCV,signal_fusion,signal_multiomics,4,expr,0.6778934720977141,0.33075802144449257
Vincristine,RidgeCV,signal_fusion,signal_multiomics,4,meth,0.7328472935964164,0.3575711093674053
Vincristine,RidgeCV,signal_fusion,signal_multiomics,4,prot,0.6387740703700266,0.3116708691881022
Vincristine,RidgeCV,signal_fusion,signal_multiomics,5,expr,0.6853731586681457,0.33355962887859325
Vincristine,RidgeCV,signal_fusion,signal_multiomics,5,meth,0.7310627010100117,0.3557959633402479
Vincristine,RidgeCV,signal_fusion,signal_multiomics,5,prot,0.6382886912884198,0.31064440778115876
Vincristine,RidgeCV,early_fusion_lineage,multiomics_plus_lineage,1,cnv,0.3250518583188,0.14260919571168906
Vincristine,RidgeCV,early_fusion_lineage,multiomics_plus_lineage,1,expr,0.48368742251979385,0.21220698339695734
Vincristine,RidgeCV,early_fusion_lineage,multiomics_plus_lineage,1,meta,0.010982209470557454,0.004818197526492685
Vincristine,RidgeCV,early_fusion_lineage,multiomics_plus_lineage,1,meth,0.5316406448420207,0.2332453817083109
Vincristine,RidgeCV,early_fusion_lineage,multiomics_plus_lineage,1,mut,0.4939262375294247,0.21669903331513427
Vincristine,RidgeCV,early_fusion_lineage,multiomics_plus_lineage,1,prot,0.43403069013743223,0.19042120834141568
Vincristine,RidgeCV,early_fusion_lineage,multiomics_plus_lineage,2,cnv,0.31287871497963815,0.13681013561148667
Vincristine,RidgeCV,early_fusion_lineage,multiomics_plus_lineage,2,expr,0.504231212238279,0.22048141092101037
Vincristine,RidgeCV,early_fusion_lineage,multiomics_plus_lineage,2,meta,0.010646094103620357,0.004655137944246981
Vincristine,RidgeCV,early_fusion_lineage,multiomics_plus_lineage,2,meth,0.5270891236283624,0.23047631887528316
Vincristine,RidgeCV,early_fusion_lineage,multiomics_plus_lineage,2,mut,0.4941723819624173,0.21608306143845404
Vincristine,RidgeCV,early_fusion_lineage,multiomics_plus_lineage,2,prot,0.4379381403794023,0.19149393520951877
Vincristine,RidgeCV,early_fusion_lineage,multiomics_plus_lineage,3,cnv,0.354991454589008,0.14308839555009392
Vincristine,RidgeCV,early_fusion_lineage,multiomics_plus_lineage,3,expr,0.5394178827728352,0.2174261897835092
Vincristine,RidgeCV,early_fusion_lineage,multiomics_plus_lineage,3,meta,0.011448136274517804,0.004614464462126533
Vincristine,RidgeCV,early_fusion_lineage,multiomics_plus_lineage,3,meth,0.5589027783349136,0.22528007586273
Vincristine,RidgeCV,early_fusion_lineage,multiomics_plus_lineage,3,mut,0.5317135503899845,0.21432076134235686
Vincristine,RidgeCV,early_fusion_lineage,multiomics_plus_lineage,3,prot,0.48445033704408297,0.19527011299918337
Vincristine,RidgeCV,early_fusion_lineage,multiomics_plus_lineage,4,cnv,0.351082673271457,0.147308996372
Vincristine,RidgeCV,early_fusion_lineage,multiomics_plus_lineage,4,expr,0.5169067732669834,0.21688628857218767
Vincristine,RidgeCV,early_fusion_lineage,multiomics_plus_lineage,4,meta,0.008457141584441974,0.0035484890990812043
Vincristine,RidgeCV,early_fusion_lineage,multiomics_plus_lineage,4,meth,0.5369618643988945,0.22530110243714466
Vincristine,RidgeCV,early_fusion_lineage,multiomics_plus_lineage,4,mut,0.5038487696481704,0.21140734713145756
Vincristine,RidgeCV,early_fusion_lineage,multiomics_plus_lineage,4,prot,0.46605053172219396,0.19554777638812879
Vincristine,RidgeCV,early_fusion_lineage,multiomics_plus_lineage,5,cnv,0.36555803017041855,0.15240887982677756
Vincristine,RidgeCV,early_fusion_lineage,multiomics_plus_lineage,5,expr,0.508027554824958,0.21180744002781923
Vincristine,RidgeCV,early_fusion_lineage,multiomics_plus_lineage,5,meta,0.011494977163088489,0.004792499270892709
Vincristine,RidgeCV,early_fusion_lineage,multiomics_plus_lineage,5,meth,0.5244339321109176,0.21864760595989546
Vincristine,RidgeCV,early_fusion_lineage,multiomics_plus_lineage,5,mut,0.5221311654026372,0.21768753378107394
Vincristine,RidgeCV,early_fusion_lineage,multiomics_plus_lineage,5,prot,0.4668893245487073,0.19465604113354115
Vincristine,RidgeCV,signal_fusion_lineage,signal_multiomics_plus_lineage,1,expr,0.6421398024232405,0.3299420794714837
Vincristine,RidgeCV,signal_fusion_lineage,signal_multiomics_plus_lineage,1,meta,0.014521331930859117,0.00746130116196315
Vincristine,RidgeCV,signal_fusion_lineage,signal_multiomics_plus_lineage,1,meth,0.7007208436486722,0.36004198993737335
Vincristine,RidgeCV,signal_fusion_lineage,signal_multiomics_plus_lineage,1,prot,0.5888378053357143,0.30255462942917977
Vincristine,RidgeCV,signal_fusion_lineage,signal_multiomics_plus_lineage,2,expr,0.6439547777969094,0.3277093457362121
Vincristine,RidgeCV,signal_fusion_lineage,signal_multiomics_plus_lineage,2,meta,0.014737202157143393,0.007499779555052684
Vincristine,RidgeCV,signal_fusion_lineage,signal_multiomics_plus_lineage,2,meth,0.7050210271813269,0.3587860320538392
Vincristine,RidgeCV,signal_fusion_lineage,signal_multiomics_plus_lineage,2,prot,0.601305037590319,0.30600484265489614
Vincristine,RidgeCV,signal_fusion_lineage,signal_multiomics_plus_lineage,3,expr,0.7021859643611525,0.33316205388269615
Vincristine,RidgeCV,signal_fusion_lineage,signal_multiomics_plus_lineage,3,meta,0.015153852035822627,0.007189959248306009
Vincristine,RidgeCV,signal_fusion_lineage,signal_multiomics_plus_lineage,3,meth,0.7398139862353637,0.35101520060937647
Vincristine,RidgeCV,signal_fusion_lineage,signal_multiomics_plus_lineage,3,prot,0.6504870771672167,0.30863278625962143
Vincristine,RidgeCV,signal_fusion_lineage,signal_multiomics_plus_lineage,4,expr,0.6754901776222708,0.3287725604647558
Vincristine,RidgeCV,signal_fusion_lineage,signal_multiomics_plus_lineage,4,meta,0.010823741880445766,0.005268099299933388
Vincristine,RidgeCV,signal_fusion_lineage,signal_multiomics_plus_lineage,4,meth,0.7309571801004895,0.35576929414082464
Vincristine,RidgeCV,signal_fusion_lineage,signal_multiomics_plus_lineage,4,prot,0.6373108784894668,0.3101900460944862
Vincristine,RidgeCV,signal_fusion_lineage,signal_multiomics_plus_lineage,5,expr,0.6814937788263961,0.33025278806338976
Vincristine,RidgeCV,signal_fusion_lineage,signal_multiomics_plus_lineage,5,meta,0.015750712353937147,0.007632816073288479
Vincristine,RidgeCV,signal_fusion_lineage,signal_multiomics_plus_lineage,5,meth,0.7286784552648158,0.35311854477578764
Vincristine,RidgeCV,signal_fusion_lineage,signal_multiomics_plus_lineage,5,prot,0.6376289854634108,0.30899585108753425
Vincristine,RidgeCV,metadata_augmented,expr_plus_lineage,1,expr,1.0064636625943537,0.9767359581581808
Vincristine,RidgeCV,metadata_augmented,expr_plus_lineage,1,meta,0.023972100712886524,0.02326404184181918
Vincristine,RidgeCV,metadata_augmented,expr_plus_lineage,2,expr,1.0649473644394831,0.9797022434197508
Vincristine,RidgeCV,metadata_augmented,expr_plus_lineage,2,meta,0.02206388983934306,0.020297756580249272
Vincristine,RidgeCV,metadata_augmented,expr_plus_lineage,3,expr,1.1320941642881268,0.9792916537661835
Vincristine,RidgeCV,metadata_augmented,expr_plus_lineage,3,meta,0.023939546337601016,0.020708346233816337
Vincristine,RidgeCV,metadata_augmented,expr_plus_lineage,4,expr,1.0923387420182356,0.9831879953976663
Vincristine,RidgeCV,metadata_augmented,expr_plus_lineage,4,meta,0.018678425737582452,0.016812004602333598
Vincristine,RidgeCV,metadata_augmented,expr_plus_lineage,5,expr,1.090734478279311,0.9792549799439286
Vincristine,RidgeCV,metadata_augmented,expr_plus_lineage,5,meta,0.023106656684093223,0.020745020056071466
Vincristine,RidgeSelectK,single_omics,expr,1,expr,1.0155795844559659,1.0
Vincristine,RidgeSelectK,single_omics,expr,2,expr,1.0724529214260474,1.0
Vincristine,RidgeSelectK,single_omics,expr,3,expr,1.140368020625032,1.0
Vincristine,RidgeSelectK,single_omics,expr,4,expr,1.0981311642660745,1.0
Vincristine,RidgeSelectK,single_omics,expr,5,expr,1.100267658687867,1.0
Vincristine,RidgeSelectK,single_omics,mut,1,mut,1.367154823765271,1.0
Vincristine,RidgeSelectK,single_omics,mut,2,mut,1.406820846038245,1.0
Vincristine,RidgeSelectK,single_omics,mut,3,mut,1.4656081354732118,1.0
Vincristine,RidgeSelectK,single_omics,mut,4,mut,1.3970942684549146,1.0
Vincristine,RidgeSelectK,single_omics,mut,5,mut,1.4415400924856658,1.0
Vincristine,RidgeSelectK,single_omics,cnv,1,cnv,0.872824861282438,1.0
Vincristine,RidgeSelectK,single_omics,cnv,2,cnv,0.9106836874765075,1.0
Vincristine,RidgeSelectK,single_omics,cnv,3,cnv,0.9571721091390506,1.0
Vincristine,RidgeSelectK,single_omics,cnv,4,cnv,0.9273969558082029,1.0
Vincristine,RidgeSelectK,single_omics,cnv,5,cnv,0.9513227477661441,1.0
Vincristine,RidgeSelectK,single_omics,meth,1,meth,1.2105609983014718,1.0
Vincristine,RidgeSelectK,single_omics,meth,2,meth,1.2909308454631145,1.0
Vincristine,RidgeSelectK,single_omics,meth,3,meth,1.3336030369449634,1.0
Vincristine,RidgeSelectK,single_omics,meth,4,meth,1.308760726188718,1.0
Vincristine,RidgeSelectK,single_omics,meth,5,meth,1.3345823254191655,1.0
Vincristine,RidgeSelectK,single_omics,prot,1,prot,1.310332912076186,1.0
Vincristine,RidgeSelectK,single_omics,prot,2,prot,1.35487646370901,1.0
Vincristine,RidgeSelectK,single_omics,prot,3,prot,1.3997463951300877,1.0
Vincristine,RidgeSelectK,single_omics,prot,4,prot,1.3710192932197434,1.0
Vincristine,RidgeSelectK,single_omics,prot,5,prot,1.3912440787985572,1.0
Vincristine,RidgeSelectK,early_fusion,multiomics,1,cnv,0.07770712376254633,0.0771492686628697
Vincristine,RidgeSelectK,early_fusion,multiomics,1,expr,0.6400736641699556,0.6354786110984117
Vincristine,RidgeSelectK,early_fusion,multiomics,1,meth,0.23876170428073723,0.23704764734629832
Vincristine,RidgeSelectK,early_fusion,multiomics,1,mut,0.03655679879013329,0.036294359574196716
Vincristine,RidgeSelectK,early_fusion,multiomics,1,prot,0.014131563019552677,0.014030113318223505
Vincristine,RidgeSelectK,early_fusion,multiomics,2,cnv,0.06800434874622122,0.06517023393715586
Vincristine,RidgeSelectK,early_fusion,multiomics,2,expr,0.6482739633777501,0.621256825888547
