k_features,compound,model_family,strategy,omics_layer,fold,n_train,n_test,pearson,spearman,rmse,mae,r2
1000,Leptomycin B,RidgeSelectK,metadata_augmented,expr_plus_lineage,1,298,75,0.5853891174096698,0.5450071123755335,0.15129721030125295,0.12085276008600467,0.328214651443969
1000,Leptomycin B,RidgeSelectK,metadata_augmented,expr_plus_lineage,2,298,75,0.601002580624441,0.6621337126600284,0.15946162840521766,0.11985395590355274,0.34610478760264574
1000,Leptomycin B,RidgeSelectK,metadata_augmented,expr_plus_lineage,3,298,75,0.5497384885608783,0.6250355618776672,0.15160686016534872,0.11724798722922711,0.2873650740106356
1000,Leptomycin B,RidgeSelectK,metadata_augmented,expr_plus_lineage,4,299,74,0.5296913746229439,0.5205035172158459,0.13727740404348854,0.11424724580705507,0.28015444535156786
1000,Leptomycin B,RidgeSelectK,metadata_augmented,expr_plus_lineage,5,299,74,0.42809089649796406,0.49618659755646055,0.17601172314116847,0.1285943373735525,0.16280549157852853
250,Leptomycin B,RidgeSelectK,signal_fusion,signal_multiomics,1,298,75,0.4033121089098053,0.39664295874822186,0.17343012116601483,0.13264343004936635,0.11729061893827009
250,Leptomycin B,RidgeSelectK,signal_fusion,signal_multiomics,2,298,75,0.6201363542280787,0.67049786628734,0.15725513819754236,0.12168449637793702,0.364075646222598
250,Leptomycin B,RidgeSelectK,signal_fusion,signal_multiomics,3,298,75,0.586197365803822,0.6335988620199146,0.146580406332497,0.11388603190517126,0.33383587819641625
250,Leptomycin B,RidgeSelectK,signal_fusion,signal_multiomics,4,299,74,0.5296223223856986,0.5260125879303961,0.13736579665738197,0.11692354193958159,0.27922713301034685
250,Leptomycin B,RidgeSelectK,signal_fusion,signal_multiomics,5,299,74,0.4195509013778,0.4758978156238429,0.1783831746859401,0.12527742065838052,0.14009403973603274
500,Leptomycin B,RidgeSelectK,signal_fusion,signal_multiomics,1,298,75,0.43677952970504974,0.4250071123755334,0.17074507615009124,0.13385608756213968,0.14441125234819707
500,Leptomycin B,RidgeSelectK,signal_fusion,signal_multiomics,2,298,75,0.5779464346679056,0.6106685633001423,0.16543690750340523,0.1288123575455501,0.2961816677583552
500,Leptomycin B,RidgeSelectK,signal_fusion,signal_multiomics,3,298,75,0.5329486062115016,0.6244950213371265,0.15256197391882145,0.11310002192664272,0.2783576790102432
500,Leptomycin B,RidgeSelectK,signal_fusion,signal_multiomics,4,299,74,0.5402318913306088,0.506434653831914,0.13623981604752025,0.11612026475807036,0.290994983040308
500,Leptomycin B,RidgeSelectK,signal_fusion,signal_multiomics,5,299,74,0.4447335138178682,0.49633469085523874,0.17447475549658387,0.12433950333023813,0.1773627360224569
1000,Leptomycin B,RidgeSelectK,signal_fusion,signal_multiomics,1,298,75,0.40983829549368644,0.3932859174964438,0.1757210204073728,0.13908836558292478,0.0938165626396924
1000,Leptomycin B,RidgeSelectK,signal_fusion,signal_multiomics,2,298,75,0.53993800304537,0.5753911806543385,0.16984793758509892,0.1314810660428803,0.2581496198588161
1000,Leptomycin B,RidgeSelectK,signal_fusion,signal_multiomics,3,298,75,0.48951410277211604,0.5939402560455191,0.15738829062780735,0.12017056607756632,0.23197698689464719
1000,Leptomycin B,RidgeSelectK,signal_fusion,signal_multiomics,4,299,74,0.5146465967367535,0.4715142539800073,0.14146189283907543,0.11600916288171031,0.2356009459675823
1000,Leptomycin B,RidgeSelectK,signal_fusion,signal_multiomics,5,299,74,0.39691818812360047,0.44470936690114765,0.18009278880925472,0.12943610382555235,0.12353247680383783
250,Leptomycin B,RidgeSelectK,early_fusion,multiomics,1,298,75,0.38610156175939764,0.3954765291607396,0.17563625649238054,0.13638486283882542,0.09469059728342388
250,Leptomycin B,RidgeSelectK,early_fusion,multiomics,2,298,75,0.619654329433343,0.672176386913229,0.15623353949733396,0.12007563169202953,0.37231129770520044
250,Leptomycin B,RidgeSelectK,early_fusion,multiomics,3,298,75,0.5684999656766014,0.5918634423897582,0.1486290041473437,0.11546072141948344,0.3150852294232186
250,Leptomycin B,RidgeSelectK,early_fusion,multiomics,4,299,74,0.4423340157170399,0.4354387263976304,0.14754127911209228,0.12240681859268537,0.1684884240095056
250,Leptomycin B,RidgeSelectK,early_fusion,multiomics,5,299,74,0.4159317024715459,0.4793928174750092,0.17832357901390225,0.12638339474646063,0.14066851222462928
500,Leptomycin B,RidgeSelectK,early_fusion,multiomics,1,298,75,0.36666220374981096,0.4722901849217638,0.1896807988668386,0.14694803839600493,-0.05588209931024579
500,Leptomycin B,RidgeSelectK,early_fusion,multiomics,2,298,75,0.5281449151027291,0.5561024182076814,0.1689355297702985,0.13507263582439444,0.26609851875394874
500,Leptomycin B,RidgeSelectK,early_fusion,multiomics,3,298,75,0.5273307672378612,0.5825604551920341,0.15479962712411943,0.1202077312370689,0.2570335262087241
500,Leptomycin B,RidgeSelectK,early_fusion,multiomics,4,299,74,0.5134081728682692,0.47435764531654934,0.13899262170920643,0.11765820248128635,0.26205379328695144
500,Leptomycin B,RidgeSelectK,early_fusion,multiomics,5,299,74,0.41661305154200523,0.46348759718622723,0.17776923899609137,0.12597057872953568,0.1460028759830495
1000,Leptomycin B,RidgeSelectK,early_fusion,multiomics,1,298,75,0.39780719428301736,0.4440398293029872,0.17929389292454573,0.144980556163934,0.05659172564144588
1000,Leptomycin B,RidgeSelectK,early_fusion,multiomics,2,298,75,0.4407688750265579,0.5295590327169274,0.18505887235340107,0.14674125570634164,0.11932515608003524
1000,Leptomycin B,RidgeSelectK,early_fusion,multiomics,3,298,75,0.49902674595284324,0.5798862019914651,0.15776422037676183,0.12516586001995347,0.22830368297086234
1000,Leptomycin B,RidgeSelectK,early_fusion,multiomics,4,299,74,0.45388480718900504,0.46117734172528685,0.15060078576626823,0.12432989790213349,0.1336453977499623
