compound,model_family,strategy,omics_layer,strategy_label,pearson,rmse,r2,single_model_family,single_omics_layer,best_single_pearson,best_single_rmse,best_single_r2,pearson_gain_vs_best_single,rmse_delta_vs_best_single
"1S,3R-RSL-3",ElasticNet,early_fusion_lineage,multiomics_plus_lineage,Early fusion + lineage,0.521532753564456,0.17817194406851983,0.23372824277971876,RidgeCV,expr,0.5714390159611781,0.16875019521962875,0.3127566242054155,-0.04990626239672202,0.009421748848891076
"1S,3R-RSL-3",ElasticNet,early_fusion,multiomics,Early fusion,0.5215232699900345,0.17817282747704968,0.23372077365066649,RidgeCV,expr,0.5714390159611781,0.16875019521962875,0.3127566242054155,-0.049915745971143566,0.009422632257420932
"1S,3R-RSL-3",XGBoost,early_fusion_lineage,multiomics_plus_lineage,Early fusion + lineage,0.5214252526609288,0.1768850638804832,0.2451546889867912,RidgeCV,expr,0.5714390159611781,0.16875019521962875,0.3127566242054155,-0.050013763300249314,0.008134868660854444
"1S,3R-RSL-3",ElasticNet,signal_fusion_lineage,signal_multiomics_plus_lineage,Focused fusion + lineage,0.5213780749297436,0.178348088576275,0.2322900811035952,RidgeCV,expr,0.5714390159611781,0.16875019521962875,0.3127566242054155,-0.050060941031434436,0.009597893356646237
"1S,3R-RSL-3",ElasticNet,signal_fusion,signal_multiomics,Focused fusion,0.5213722476004623,0.178348554031679,0.2322859497073281,RidgeCV,expr,0.5714390159611781,0.16875019521962875,0.3127566242054155,-0.050066768360715774,0.009598358812050262
"1S,3R-RSL-3",ElasticNet,metadata_augmented,expr_plus_lineage,Expression + lineage,0.5198928695534963,0.17999781272524878,0.2178569262570857,RidgeCV,expr,0.5714390159611781,0.16875019521962875,0.3127566242054155,-0.05154614640768174,0.011247617505620033
"1S,3R-RSL-3",XGBoost,metadata_augmented,expr_plus_lineage,Expression + lineage,0.5197818022913918,0.17618802244277157,0.24979447094982152,RidgeCV,expr,0.5714390159611781,0.16875019521962875,0.3127566242054155,-0.05165721366978626,0.007437827223142818
"1S,3R-RSL-3",ElasticNet,late_fusion,multiomics,Late fusion,0.5158627799864848,0.19183162534602194,0.11420714019146232,RidgeCV,expr,0.5714390159611781,0.16875019521962875,0.3127566242054155,-0.0555762359746933,0.023081430126393188
"1S,3R-RSL-3",XGBoost,signal_fusion_lineage,signal_multiomics_plus_lineage,Focused fusion + lineage,0.513250870686699,0.1772359977498405,0.2418163998521508,RidgeCV,expr,0.5714390159611781,0.16875019521962875,0.3127566242054155,-0.05818814527447913,0.00848580253021175
"1S,3R-RSL-3",RidgeSelectK,early_fusion,multiomics,Early fusion,0.5111485740290653,0.17763998769986514,0.23231468516458326,RidgeCV,expr,0.5714390159611781,0.16875019521962875,0.3127566242054155,-0.06029044193211275,0.008889792480236386
"1S,3R-RSL-3",XGBoost,signal_fusion,signal_multiomics,Focused fusion,0.5105303930311788,0.17727924025940295,0.24098198940745288,RidgeCV,expr,0.5714390159611781,0.16875019521962875,0.3127566242054155,-0.06090862292999932,0.008529045039774197
"1S,3R-RSL-3",RidgeSelectK,early_fusion_lineage,multiomics_plus_lineage,Early fusion + lineage,0.5063258749737451,0.17830766098165113,0.2262441206195623,RidgeCV,expr,0.5714390159611781,0.16875019521962875,0.3127566242054155,-0.06511314098743293,0.009557465762022377
"1S,3R-RSL-3",LightGBM,late_fusion,multiomics,Late fusion,0.4907951734796123,0.18688140985252008,0.15913330048865487,RidgeCV,expr,0.5714390159611781,0.16875019521962875,0.3127566242054155,-0.08064384248156575,0.01813121463289133
"1S,3R-RSL-3",RidgeCV,pathway_modules_lineage,multiomics_pathway,Pathway + lineage,0.48879235291047396,0.17933273082505513,0.22508374453029406,RidgeCV,expr,0.5714390159611781,0.16875019521962875,0.3127566242054155,-0.08264666305070412,0.01058253560542638
"1S,3R-RSL-3",XGBoost,late_fusion,multiomics,Late fusion,0.4843389235059294,0.18951020784492362,0.13537759465699198,RidgeCV,expr,0.5714390159611781,0.16875019521962875,0.3127566242054155,-0.08710009245524869,0.020760012625294866
"1S,3R-RSL-3",RidgeCV,pathway_modules,multiomics_pathway,Pathway modules,0.44778888786092985,0.18371165616419718,0.18757888179527782,RidgeCV,expr,0.5714390159611781,0.16875019521962875,0.3127566242054155,-0.12365012810024822,0.014961460944568433
