Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes,moa_class,library
gs_ind_0,Hippo Signaling (GO:0035329),1/5,0.05239909039586638,0.18577859322170806,31.305084745762713,92.31450149469747,AMOTL2,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Inflammatory Response (GO:0006954),1/48,0.4059071594955855,0.44218936369630824,2.91971454058876,2.6325046058284416,THBS1,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Integrin-Mediated Signaling Pathway (GO:0007229),1/29,0.26912981253334584,0.3311060785110564,4.900089206066013,6.431668150854267,ITGA3,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Lamellipodium Assembly (GO:0030032),1/7,0.07260681135934059,0.18752752602743597,21.65710560625815,56.800015965409045,ABLIM3,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Lamellipodium Organization (GO:0097581),1/9,0.09239766755109105,0.19799500189519512,16.549351944167498,39.414822702220405,ABLIM3,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Lens Fiber Cell Differentiation (GO:0070306),1/2,0.021287310365956994,0.18577859322170806,94.01694915254237,361.9317974849348,PLAAT3,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Lipid Catabolic Process (GO:0016042),1/6,0.06255558460384208,0.18752752602743597,25.604006163328197,70.9666178357158,PLAAT3,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Long-Term Synaptic Depression (GO:0060292),1/2,0.021287310365956994,0.18577859322170806,94.01694915254237,361.9317974849348,PLK2,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Long-Term Synaptic Potentiation (GO:0060291),1/5,0.05239909039586638,0.18577859322170806,31.305084745762713,92.31450149469747,PLK2,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Lung Development (GO:0030324),1/12,0.12132046229014064,0.22006967578211556,12.218865143699336,25.773494005998238,ITGA3,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Lysosome Localization (GO:0032418),1/11,0.11177996785246573,0.213696997365008,13.387409200968523,29.334797783349753,S100A13,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Maintenance Of Protein Localization In Endoplasmic Reticulum (GO:0035437),1/3,0.03176603295304525,0.18577859322170806,56.389830508474574,194.50869641579146,KDELR3,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Mast Cell Activation Involved In Immune Response (GO:0002279),1/3,0.03176603295304525,0.18577859322170806,56.389830508474574,194.50869641579146,S100A13,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Mast Cell Degranulation (GO:0043303),1/3,0.03176603295304525,0.18577859322170806,56.389830508474574,194.50869641579146,S100A13,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Mast Cell Mediated Immunity (GO:0002448),1/3,0.03176603295304525,0.18577859322170806,56.389830508474574,194.50869641579146,S100A13,Cytoskeleton/cell cycle,GO_BP
