compound,model_family,strategy,omics_layer_model,fold,omics_layer,raw_importance,importance_fraction
Vincristine,RidgeCV,early_fusion_lineage,multiomics_plus_lineage,3,mut,0.9079750541454047,0.39236594509298733
Vincristine,RidgeCV,early_fusion_lineage,multiomics_plus_lineage,4,cnv,0.516138643204313,0.2218337802718222
Vincristine,RidgeCV,early_fusion_lineage,multiomics_plus_lineage,4,expr,0.8628463267562624,0.3708469903932939
Vincristine,RidgeCV,early_fusion_lineage,multiomics_plus_lineage,4,meta,0.01709745885572895,0.007348401405214921
Vincristine,RidgeCV,early_fusion_lineage,multiomics_plus_lineage,4,mut,0.9306084952254117,0.3999708279296689
Vincristine,RidgeCV,early_fusion_lineage,multiomics_plus_lineage,5,cnv,0.547607247226307,0.23339524576076162
Vincristine,RidgeCV,early_fusion_lineage,multiomics_plus_lineage,5,expr,0.8719630884916418,0.37163868879316536
Vincristine,RidgeCV,early_fusion_lineage,multiomics_plus_lineage,5,meta,0.020294693308108857,0.008649784962264833
Vincristine,RidgeCV,early_fusion_lineage,multiomics_plus_lineage,5,mut,0.906400617651355,0.3863162804838082
Vincristine,RidgeCV,signal_fusion_lineage,signal_multiomics_plus_lineage,1,expr,1.260097654644879,0.9799709997310176
Vincristine,RidgeCV,signal_fusion_lineage,signal_multiomics_plus_lineage,1,meta,0.025754329741139215,0.020029000268982484
Vincristine,RidgeCV,signal_fusion_lineage,signal_multiomics_plus_lineage,2,expr,1.195765689981489,0.9742247199459926
Vincristine,RidgeCV,signal_fusion_lineage,signal_multiomics_plus_lineage,2,meta,0.031636638762312444,0.025775280054007487
Vincristine,RidgeCV,signal_fusion_lineage,signal_multiomics_plus_lineage,3,expr,1.2437885876321995,0.976796802051526
Vincristine,RidgeCV,signal_fusion_lineage,signal_multiomics_plus_lineage,3,meta,0.029545421058166526,0.02320319794847404
Vincristine,RidgeCV,signal_fusion_lineage,signal_multiomics_plus_lineage,4,expr,1.2617721873321412,0.9810595022335387
