compound,model_family,strategy,omics_layer,fold,n_train,n_test,pearson,spearman,rmse,mae,r2
Oligomycin A,XGBoost,single_omics,mut,4,407.0,101,0.02279078651180629,0.034338963308095515,0.22387615906892697,0.18638027654868541,-0.018260568339924177
Oligomycin A,XGBoost,single_omics,mut,5,407.0,101,0.11852614069202916,0.138126244927774,0.2537314660832889,0.20546874261488862,0.0061152938042600136
Oligomycin A,XGBoost,single_omics,cnv,1,406.0,102,0.3845824752755664,0.3646104869358799,0.22802351335697565,0.1855252842948425,0.13272326048040073
Oligomycin A,XGBoost,single_omics,cnv,2,406.0,102,0.20935051875489533,0.201944064407869,0.23984883750014235,0.18373384561809694,0.009656687573331824
Oligomycin A,XGBoost,single_omics,cnv,3,406.0,102,0.3297537164063309,0.36891507540245744,0.23893390141910123,0.19258252701119466,0.08993894683036374
Oligomycin A,XGBoost,single_omics,cnv,4,407.0,101,0.36889406840756245,0.4025975538730343,0.2063735929132152,0.16873870992867074,0.13473032765879833
Oligomycin A,XGBoost,single_omics,cnv,5,407.0,101,0.3625267930101702,0.4040349916988336,0.2379264040534949,0.18292619794662487,0.1260780817206476
Oligomycin A,XGBoost,early_fusion,multiomics,1,406.0,102,0.4143905301139981,0.40295958701806117,0.2234410913654017,0.17823013435026594,0.16723105634227653
Oligomycin A,XGBoost,early_fusion,multiomics,2,406.0,102,0.2822887953548602,0.2945330967102364,0.23761613173471904,0.1810594183694133,0.028008693677126217
Oligomycin A,XGBoost,early_fusion,multiomics,3,406.0,102,0.328803771488257,0.35189509813345704,0.23799724489727536,0.17568720126634135,0.09706011146584148
Oligomycin A,XGBoost,early_fusion,multiomics,4,407.0,101,0.4654446258248093,0.4912871287128712,0.1965899756337094,0.1584037106742363,0.2148258929535921
Oligomycin A,XGBoost,early_fusion,multiomics,5,407.0,101,0.47744175222253665,0.5285908980078813,0.224206056581105,0.17240689065547124,0.22396371053434472
Oligomycin A,XGBoost,signal_fusion,signal_multiomics,1,406.0,102,0.4131561921803872,0.42487658966013364,0.22340186774019735,0.1757785484158233,0.16752340498534135
Oligomycin A,XGBoost,signal_fusion,signal_multiomics,2,406.0,102,0.290370636038156,0.2870124290076501,0.23753730588472255,0.18376494770157425,0.028653475930465855
Oligomycin A,XGBoost,signal_fusion,signal_multiomics,3,406.0,102,0.3610517921337265,0.38605945117641405,0.23463843287247949,0.1722187669582519,0.12236632574702544
Oligomycin A,XGBoost,signal_fusion,signal_multiomics,4,407.0,101,0.45051512465749477,0.45682003494467094,0.19859041337975056,0.15790790182971717,0.19876522303093047
Oligomycin A,XGBoost,signal_fusion,signal_multiomics,5,407.0,101,0.4698176710959018,0.5036517606836812,0.22518839198853277,0.17544349000355838,0.21714856944216954
Oligomycin A,XGBoost,early_fusion_lineage,multiomics_plus_lineage,1,406.0,102,0.426923266686322,0.42847287801935907,0.22203071683349188,0.1762714836490797,0.1777108592411556
Oligomycin A,XGBoost,early_fusion_lineage,multiomics_plus_lineage,2,406.0,102,0.29119867239703695,0.3037501556239325,0.23713833744496055,0.17981080975219169,0.03191368932603689
