model_family,strategy,omics_layer,pearson_5-omics (389),r2_5-omics (389),rmse_5-omics (389),n_folds_5-omics (389),pearson_no-prot (508),r2_no-prot (508),rmse_no-prot (508),n_folds_no-prot (508),pearson_no-prot-no-meth (574),r2_no-prot-no-meth (574),rmse_no-prot-no-meth (574),n_folds_no-prot-no-meth (574),delta_pearson_no-prot_vs_5-omics,delta_pearson_no-meth_vs_no-prot,delta_pearson_no-meth_vs_5-omics,delta_r2_no-meth_vs_5-omics
XGBoost,late_fusion,multiomics,0.5153637980789935,0.16130683406652266,0.18827834736578836,60,0.5585100097510086,0.22968221970462724,0.1821363819829709,60.0,0.5750491577610355,0.2437731725696344,0.18287190560681027,60.0,0.043146211672015156,0.016539148010026872,0.05968535968204203,0.08246633850311175
ElasticNet,early_fusion_lineage,multiomics_plus_lineage,0.5079620851110146,0.23594524765180228,0.1793784692538767,60,0.5476306086251395,0.2794177262488306,0.17586933931445772,60.0,0.5727005043711278,0.3068039316340269,0.17453207364001572,60.0,0.039668523514124865,0.02506989574598839,0.06473841926011326,0.07085868398222464
LightGBM,late_fusion,multiomics,0.5097801275393782,0.17990091347764894,0.18613904881073892,60,0.5570329335982692,0.2539474746597243,0.17911510668557945,60.0,0.5692031972869154,0.26679062972585643,0.17996215210555763,60.0,0.04725280605889104,0.012170263688646155,0.059423069747537194,0.08688971624820749
ElasticNet,early_fusion,multiomics,0.5080100914282363,0.23595401572460484,0.17937862985776118,60,0.5493410203427964,0.2815426301885048,0.17559001929371326,60.0,0.5657222157789198,0.2747678994940346,0.176959074358008,60.0,0.04133092891456014,0.016381195436123375,0.057712124350683514,0.038813883769429736
ElasticNet,late_fusion,multiomics,0.4933975179088724,0.10255549266535609,0.1946329562457466,60,0.5338386196972915,0.17113362734985918,0.18898458660823367,60.0,0.5645649626764087,0.18218898454376758,0.19035493734262035,60.0,0.04044110178841914,0.03072634297911714,0.07116744476753628,0.0796334918784115
RidgeSelectK,early_fusion,multiomics,0.49075020348451986,0.2011325535573991,0.18264055923027547,60,0.5397360422971684,0.27731640364350146,0.1755481779864675,60.0,0.5530941355020534,0.270857266836611,0.1776632855881415,60.0,0.04898583881264856,0.013358093204885013,0.062343932017533576,0.0697247132792119
RidgeSelectK,early_fusion_lineage,multiomics_plus_lineage,0.4911188474184488,0.2021144761937319,0.18253274087640367,60,0.540424033161674,0.2782014010498501,0.17544635013203358,60.0,0.5519333487731866,0.2663377856170664,0.17804015409922472,60.0,0.04930518574322518,0.011509315611512583,0.06081450135473776,0.06422330942333448
RidgeCV,early_fusion_lineage,multiomics_plus_lineage,0.458280246182632,0.1505199125362583,0.18823102024518484,60,0.48993243223550004,0.1813388363137533,0.18647899362599932,60.0,0.5021299790976174,0.16614407182795668,0.19000480594578273,60.0,0.031652186052868014,0.012197546862117326,0.04384973291498534,0.015624159291698386
RidgeCV,early_fusion,multiomics,0.45841514472073774,0.15061261920559516,0.18821323406060392,60,0.4895820211125174,0.18088654099288734,0.1865038783032715,60.0,0.5020889121066917,0.16565799567492645,0.1900274900311282,60.0,0.031166876391779674,0.012506890994174291,0.043673767385953965,0.015045376469331295
RidgeCV,late_fusion,multiomics,0.46020459990603907,0.16570811195793486,0.18763658603322533,60,0.5026948230948874,0.2262235501929092,0.1824370266251284,60.0,0.46261967834111145,0.19578611476454635,0.1882809544701602,60.0,0.042490223188848375,-0.04007514475377599,0.002415078435072382,0.030078002806611492
RidgeSelectK,late_fusion,multiomics,0.46020459990603907,0.16570811195793486,0.18763658603322533,60,0.5026948230948874,0.2262235501929092,0.1824370266251284,60.0,0.46261967834111145,0.19578611476454635,0.1882809544701602,60.0,0.042490223188848375,-0.04007514475377599,0.002415078435072382,0.030078002806611492
LightGBM,single_omics,cnv,0.3478466618731991,0.10394624385698427,0.19426578472926007,60,0.38697702877598533,0.14289609740522788,0.19189746743032648,60.0,0.4177789428806369,0.17619006818162009,0.19054215074054442,60.0,0.03913036690278621,0.03080191410465155,0.06993228100743776,0.07224382432463582
XGBoost,single_omics,cnv,0.33851635873582403,0.10262119465634299,0.19448269377778432,60,0.37969145332038967,0.13654180099660956,0.19276546508436201,60.0,0.4084027712921826,0.16663694442392613,0.19181743683072958,60.0,0.04117509458456564,0.028711317971792938,0.06988641255635858,0.06401574976758313
ElasticNet,single_omics,cnv,0.17555859497186777,-0.3291323619620421,0.22114853936245563,49,0.2007066438339643,-0.01864256625011058,0.20949799497418986,57.0,0.23830385506267657,0.018112931627490492,0.20841176610146991,59.0,0.02514804886209654,0.03759721122871226,0.0627452600908088,0.3472452935895326
RidgeCV,single_omics,cnv,0.14676978987031744,-0.44181495322127123,0.2436497924408002,60,0.17936819342941449,-0.3975195477555321,0.2429208583458423,60.0,0.18550284080879012,-0.45317321075782685,0.2495608576301773,60.0,0.032598403559097044,0.006134647379375635,0.03873305093847268,-0.011358257536555616
