compound,coverage,aac_mean,aac_std,aac_min,aac_max,eligible,selection_score
Ibrutinib,370,0.15173833,0.12683481,0.0,0.6575115,True,46.928879618644714
AZD6482,546,0.1469683,0.08554565,0.0,0.50011325,True,46.70792578160763
Nutlin-3,528,0.12360454,0.08812596,0.0,0.47525394,True,46.53050637245178
Pazopanib,541,0.115020506,0.08561862,0.0,0.96700764,True,46.31967482715845
Teniposide,274,0.32860246,0.1689301,0.0,0.8254775,True,46.286846965551376
Ciclopirox,543,0.19284624,0.084393546,0.0,0.5664723,True,45.82569546997547
Niclosamide,487,0.2127789,0.09319329,0.0,0.44753343,True,45.385133504867554
TPCA-1,537,0.14196151,0.084205575,0.0,0.45676067,True,45.21839392930269
Temsirolimus,288,0.27405804,0.15685199,0.0,0.8369779,True,45.17337369918823
Vandetanib,482,0.15055585,0.0936915,0.0,0.59697366,True,45.159302055835724
erlotinib:PLX-4032 (2:1 mol/mol),455,0.1185486,0.099195816,0.0,0.74803615,True,45.13409610837698
R406 (Free base),505,0.102696784,0.088898905,0.0,0.6391998,True,44.89394683390856
crizotinib:PLX-4032 (2:1 mol/mol),503,0.19903937,0.089127764,0.01102657,0.69683,True,44.8312653452158
Cabozantinib,430,0.15707071,0.10397225,0.0,0.9912897,True,44.70806695520878
Silmitasertib,487,0.122118264,0.09168043,0.0,0.5315371,True,44.64836934953928
KU 0060648,489,0.2184572,0.09084653,0.0,0.57267666,True,44.42395370453596
NVP-231,507,0.17444131,0.08734851,0.0,0.4418031,True,44.28569624572992
BRD-K35604418,538,0.12521027,0.08206829,0.0,0.45268095,True,44.15273831784725
Isoevodiamine,496,0.16983174,0.088554375,0.0,0.4609122,True,43.922969937324524
Tosedostat,492,0.2109963,0.08920655,0.0200237,0.92988646,True,43.889620900154114
Raf265(chir-265),391,0.21324484,0.11185356,0.0,0.5467575,True,43.73474285751581
LY-2183240,523,0.16577792,0.08353363,0.0,0.47753695,True,43.68808837234974
Elocalcitol,474,0.08401568,0.09152382,0.0,0.80893433,True,43.38229005038738
YK 4-279,535,0.1542686,0.08098404,0.0,0.4027828,True,43.32646198570728
Triptolide,506,0.20343198,0.08562212,0.0,0.6469139,True,43.3247911632061
PF-573228,538,0.14239945,0.08035175,0.0,0.6758746,True,43.22924019396305
PIK-93,523,0.17403279,0.08256517,0.0,0.5210587,True,43.18158574402332
BRD9876,467,0.08627292,0.09184632,0.0,0.3927516,True,42.892230063676834
BRD-K94991378,489,0.08181033,0.08746663,0.0,0.3805787,True,42.77118077874184
Regorafenib,426,0.10658647,0.09916973,0.0,0.99241227,True,42.24630546569824
BRD-K71935468,509,0.08860087,0.08298986,0.0,0.35021934,True,42.24183700978756
Momelotinib,494,0.1777844,0.085358866,0.0,0.5995901,True,42.167279586195946
Serdemetan,503,0.099831544,0.08354528,0.0,0.4412971,True,42.02327708899975
PX-12,528,0.09779642,0.07925596,0.0,0.34047276,True,41.84714734554291
Met Kinase Inhibitor,484,0.090231754,0.085973985,0.0,0.46292064,True,41.61140897870064
ISOX,487,0.20712304,0.08531128,0.0,0.5141665,True,41.546592727303505
AT7867,490,0.17216326,0.084427826,0.0164058,0.5104585,True,41.36963479220867
PL-DI,493,0.270449,0.08385473,0.02756479,0.67752105,True,41.340380631387234
CHEMBL1222381,494,0.15613782,0.08305233,0.0,0.5724407,True,41.02785088121891
Vorinostat,527,0.20598312,0.07761215,0.0,0.46356183,True,40.90160132944584
Onalespib,257,0.41542944,0.15820825,0.0,0.9006882,True,40.659520506858826
Olaparib,543,0.087333806,0.07486274,0.0,0.43533957,True,40.650468327105045
BRD-K66453893,499,0.15833099,0.08103604,0.0,0.41651526,True,40.436983309686184
BRD-K66532283,505,0.10088285,0.07985423,0.0,0.5023783,True,40.32638493925333
Fedratinib,516,0.20053963,0.07774593,0.0,0.5454672,True,40.11689954996109
NSC23766,485,0.13612853,0.0821616,0.0,0.40277416,True,39.84837498515844
Manumycin,482,0.098615974,0.08225334,0.0,0.44275385,True,39.64610838890076
BRD-K45681478,502,0.11351997,0.07874794,0.0,0.4561212,True,39.53146740794182
